super_pathway,sub_pathway,challenge,metabolite,platform_name,abs_log2_foldchange,neg_log10_p_value,type
Xenobiotics,Food Component/Plant,PAT,methyl indole-3-acetate,Metabolon HD4 [nt-ms],0.0333714953206034,3.55907086253528,Top by -log10(p_value)
Xenobiotics,Food Component/Plant,PAT,methyl indole-3-acetate,Metabolon HD4 [nt-ms],0,3.55907086253528,Top by -log10(p_value)
Lipids,Primary Bile Acid Metabolism,Fasting,taurocholate,Metabolon HD4 [nt-ms],0.0373548175109237,3.51615292301499,Top by -log10(p_value)
Lipids,Primary Bile Acid Metabolism,Fasting,taurocholate,Metabolon HD4 [nt-ms],0.000266307779066499,3.51615292301499,Top by -log10(p_value)
Lipids,Primary Bile Acid Metabolism,Fasting,taurocholate,Metabolon HD4 [nt-ms],0,3.51615292301499,Top by -log10(p_value)
Lipids,Acylalkylphosphatidylcholine,OLTT,pc ae c38:2,Biocrates p150 [t-ms],0.0302481468327994,3.44630216843702,Top by -log10(p_value)
Lipids,Acylalkylphosphatidylcholine,OLTT,pc ae c38:2,Biocrates p150 [t-ms],0.0285676942309765,3.44630216843702,Top by -log10(p_value)
Lipids,Acylalkylphosphatidylcholine,OLTT,pc ae c38:2,Biocrates p150 [t-ms],0,3.44630216843702,Top by -log10(p_value)
Carbohydrates,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Fasting,glucose,Metabolon HD4 [nt-ms],0.507844293578553,3.4241381197,Top by -log10(p_value)
Carbohydrates,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Fasting,glucose,Metabolon HD4 [nt-ms],0.468603591634537,3.4241381197,Top by -log10(p_value)
Carbohydrates,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Fasting,glucose,Metabolon HD4 [nt-ms],0,3.4241381197,Top by -log10(p_value)
Nucleotides,"Pyrimidine Metabolism, Orotate containing",Fasting,dihydroorotate,Metabolon HD4 [nt-ms],0.142685838041516,3.37207734918107,Top by -log10(p_value)
Nucleotides,"Pyrimidine Metabolism, Orotate containing",Fasting,dihydroorotate,Metabolon HD4 [nt-ms],0.0618783100983132,3.37207734918107,Top by -log10(p_value)
