super_pathway,sub_pathway,challenge,metabolite,platform_name,abs_log2_foldchange,neg_log10_p_value,type
Amino Acids,Phenylalanine and Tyrosine Metabolism,PAT,phenylacetylglutamate,Metabolon HD4 [nt-ms],0,11.5562143685299,Top by -log10(p_value)
Amino Acids,"Leucine, Isoleucine and Valine Metabolism",PAT,ethylmalonate,Metabolon HD4 [nt-ms],0.404992739054336,10.8640304055583,Top by -log10(p_value)
Amino Acids,"Leucine, Isoleucine and Valine Metabolism",PAT,ethylmalonate,Metabolon HD4 [nt-ms],0.153162872000732,10.8640304055583,Top by -log10(p_value)
Amino Acids,"Leucine, Isoleucine and Valine Metabolism",PAT,ethylmalonate,Metabolon HD4 [nt-ms],0,10.8640304055583,Top by -log10(p_value)
Amino Acids,Lysine Metabolism,Fasting,"n6,n6,n6-trimethyllysine",Metabolon HD4 [nt-ms],1.11862486142416,10.7079400287908,Top by -log10(p_value)
Amino Acids,Lysine Metabolism,Fasting,"n6,n6,n6-trimethyllysine",Metabolon HD4 [nt-ms],0.798113456011362,10.7079400287908,Top by -log10(p_value)
Amino Acids,Lysine Metabolism,Fasting,"n6,n6,n6-trimethyllysine",Metabolon HD4 [nt-ms],0,10.7079400287908,Top by -log10(p_value)
Lipids,Lysoplasmalogen,OLTT,1-(1-enyl-palmitoyl)-gpc (p-16:0),Metabolon HD4 [nt-ms],0.297051369917614,10.5924051801308,Top by -log10(p_value)
Lipids,Lysoplasmalogen,OLTT,1-(1-enyl-palmitoyl)-gpc (p-16:0),Metabolon HD4 [nt-ms],0.16405956393615,10.5924051801308,Top by -log10(p_value)
Lipids,Lysoplasmalogen,OLTT,1-(1-enyl-palmitoyl)-gpc (p-16:0),Metabolon HD4 [nt-ms],0,10.5924051801308,Top by -log10(p_value)
Nucleotides,"Purine Metabolism, Adenine containing",PAT,"adenosine 3',5'-cyclic monophosphate (camp)",Metabolon HD4 [nt-ms],2.14160065395264,10.5346740461877,Top by -log10(p_value)
Nucleotides,"Purine Metabolism, Adenine containing",PAT,"adenosine 3',5'-cyclic monophosphate (camp)",Metabolon HD4 [nt-ms],0.933563073922921,10.5346740461877,Top by -log10(p_value)
Nucleotides,"Purine Metabolism, Adenine containing",PAT,"adenosine 3',5'-cyclic monophosphate (camp)",Metabolon HD4 [nt-ms],0,10.5346740461877,Top by -log10(p_value)
Lipids,Steroid,Fasting,"5alpha-pregnan-3(alpha or beta),20beta-diol disulfate",Metabolon HD4 [nt-ms],0.173654414755664,10.0606629124067,Top by -log10(p_value)
Lipids,Steroid,Fasting,"5alpha-pregnan-3(alpha or beta),20beta-diol disulfate",Metabolon HD4 [nt-ms],0.0234949240163154,10.0606629124067,Top by -log10(p_value)
Lipids,Steroid,Fasting,"5alpha-pregnan-3(alpha or beta),20beta-diol disulfate",Metabolon HD4 [nt-ms],0,10.0606629124067,Top by -log10(p_value)
Lipids,Acylalkylphosphatidylcholine,PAT,pc ae c36:3,Biocrates p150 [t-ms],0.228832468663298,9.7885458068344,Top by -log10(p_value)
Lipids,Acylalkylphosphatidylcholine,PAT,pc ae c36:3,Biocrates p150 [t-ms],0.220671739024783,9.7885458068344,Top by -log10(p_value)
Lipids,Acylalkylphosphatidylcholine,PAT,pc ae c36:3,Biocrates p150 [t-ms],0,9.7885458068344,Top by -log10(p_value)
Xenobiotics,Chemical,PAT,o-sulfo-l-tyrosine,Metabolon HD4 [nt-ms],0.511396178296016,9.71368849196223,Top by -log10(p_value)
Xenobiotics,Chemical,PAT,o-sulfo-l-tyrosine,Metabolon HD4 [nt-ms],0.172243489728572,9.71368849196223,Top by -log10(p_value)
Xenobiotics,Chemical,PAT,o-sulfo-l-tyrosine,Metabolon HD4 [nt-ms],0,9.71368849196223,Top by -log10(p_value)
Lipids,Lysolipid,PAT,lysopc a c17:0,Biocrates p150 [t-ms],0.310227063306809,9.41686046361771,Top by -log10(p_value)
Lipids,Lysolipid,PAT,lysopc a c17:0,Biocrates p150 [t-ms],0.224047408537878,9.41686046361771,Top by -log10(p_value)
Lipids,Lysolipid,PAT,lysopc a c17:0,Biocrates p150 [t-ms],0,9.41686046361771,Top by -log10(p_value)
Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,Fasting,nicotinamide,Metabolon HD4 [nt-ms],1.99528079787505,8.8565765737831,Top by -log10(p_value)
Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,Fasting,nicotinamide,Metabolon HD4 [nt-ms],1.21078412379182,8.8565765737831,Top by -log10(p_value)
Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,Fasting,nicotinamide,Metabolon HD4 [nt-ms],0,8.8565765737831,Top by -log10(p_value)
Amino Acids,Phenylalanine and Tyrosine Metabolism,Fasting,p-cresol-glucuronide,Metabolon HD4 [nt-ms],0.238693401093281,8.68236955245229,Top by -log10(p_value)
Amino Acids,Phenylalanine and Tyrosine Metabolism,Fasting,p-cresol-glucuronide,Metabolon HD4 [nt-ms],0.0665648517036642,8.68236955245229,Top by -log10(p_value)
