metabolite,platform,super_pathway,sub_pathway,significant_OGTT_OLTT_SLD,challenge_time,challenge,mean_response,log2_foldchange,p_value,neg_log10_p_value,abs_log2_foldchange
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,90,ogtt,-0.000966126613051651,0.201384719945013,2.93301803856019e-06,5.53268526602625,0.201384719945013
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,120,ogtt,0.182801993692451,0.385152840250516,2.93301803856019e-06,5.53268526602625,0.385152840250516
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,180,ogtt,0.29740948190045,0.499760328458515,2.93301803856019e-06,5.53268526602625,0.499760328458515
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,240,ogtt,0.464149613954757,0.666500460512823,2.93301803856019e-06,5.53268526602625,0.666500460512823
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,0,oltt,-0.314357312094077,0,2.66095208392283e-10,9.57496294577002,0
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,30,oltt,-0.101202969772047,0.213154342322029,2.66095208392283e-10,9.57496294577002,0.213154342322029
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,60,oltt,-0.0322732875678675,0.282084024526209,2.66095208392283e-10,9.57496294577002,0.282084024526209
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,90,oltt,0.309722516571268,0.624079828665345,2.66095208392283e-10,9.57496294577002,0.624079828665345
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,120,oltt,0.343423708238724,0.657781020332801,2.66095208392283e-10,9.57496294577002,0.657781020332801
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,180,oltt,0.0498594789591091,0.364216791053186,2.66095208392283e-10,9.57496294577002,0.364216791053186
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,240,oltt,-0.166663818097207,0.147693493996869,2.66095208392283e-10,9.57496294577002,0.147693493996869
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,0,sld,0.464149613954757,0,3.31369621539644e-13,12.4796873082354,0
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,60,sld,0.712481625688392,0.248332011733635,3.31369621539644e-13,12.4796873082354,0.248332011733635
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,120,sld,0.407777396486266,-0.0563722174684914,3.31369621539644e-13,12.4796873082354,0.0563722174684914
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,180,sld,-0.0250428155880128,-0.48919242954277,3.31369621539644e-13,12.4796873082354,0.48919242954277
1-methylnicotinamide,Metabolon HD4 [nt-ms],Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,TRUE,240,sld,-0.285594094734787,-0.749743708689545,3.31369621539644e-13,12.4796873082354,0.749743708689545
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,0,ogtt,0.173226076185203,0,2.21995002833181e-13,12.6536568015241,0
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,15,ogtt,0.107129610318171,-0.0660964658670319,2.21995002833181e-13,12.6536568015241,0.0660964658670319
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,30,ogtt,-0.238487806013616,-0.411713882198818,2.21995002833181e-13,12.6536568015241,0.411713882198818
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,45,ogtt,-0.607590545605881,-0.780816621791083,2.21995002833181e-13,12.6536568015241,0.780816621791083
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,60,ogtt,-0.704027747508369,-0.877253823693572,2.21995002833181e-13,12.6536568015241,0.877253823693572
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,90,ogtt,-1.10480891147268,-1.27803498765788,2.21995002833181e-13,12.6536568015241,1.27803498765788
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,120,ogtt,-0.921430641226801,-1.094656717412,2.21995002833181e-13,12.6536568015241,1.094656717412
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,180,ogtt,-0.544253599286538,-0.717479675471741,2.21995002833181e-13,12.6536568015241,0.717479675471741
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,240,ogtt,-0.135008811980946,-0.308234888166148,2.21995002833181e-13,12.6536568015241,0.308234888166148
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,0,oltt,1.13295465349434,0,1.62259779153934e-26,25.7897891194607,0
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,30,oltt,0.407665016455889,-0.725289637038447,1.62259779153934e-26,25.7897891194607,0.725289637038447
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,60,oltt,-0.114585839278414,-1.24754049277275,1.62259779153934e-26,25.7897891194607,1.24754049277275
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,90,oltt,-0.539960666936656,-1.67291532043099,1.62259779153934e-26,25.7897891194607,1.67291532043099
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,120,oltt,-0.781606952305837,-1.91456160580017,1.62259779153934e-26,25.7897891194607,1.91456160580017
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,180,oltt,-0.47181353031532,-1.60476818380966,1.62259779153934e-26,25.7897891194607,1.60476818380966
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,240,oltt,-0.268635192959298,-1.40158984645363,1.62259779153934e-26,25.7897891194607,1.40158984645363
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,0,sld,-0.135008811980946,0,1.09748524491785e-12,11.9596013098957,0
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,60,sld,-0.911521247960338,-0.776512435979393,1.09748524491785e-12,11.9596013098957,0.776512435979393
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,120,sld,-1.46613592533544,-1.3311271133545,1.09748524491785e-12,11.9596013098957,1.3311271133545
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,180,sld,-1.23441237365111,-1.09940356167017,1.09748524491785e-12,11.9596013098957,1.09940356167017
15-methylpalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,240,sld,-0.392785633145261,-0.257776821164315,1.09748524491785e-12,11.9596013098957,0.257776821164315
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,0,ogtt,-0.0463587433867434,0,4.40405902127868e-10,9.35614686943601,0
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,15,ogtt,-0.169595456178062,-0.123236712791319,4.40405902127868e-10,9.35614686943601,0.123236712791319
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,30,ogtt,-0.48268931390434,-0.436330570517596,4.40405902127868e-10,9.35614686943601,0.436330570517596
