"metabolite","cluster"
"X1.methylguanidine_metabolon",5
"X1.methylhistidine_metabolon",5
"X1.methylimidazoleacetate_metabolon",5
"X2.aminoadipate_metabolon",1
"X2.aminobutyrate_metabolon",4
"X2.hydroxy.3.methylvalerate_metabolon",4
"X2.hydroxybutyrate.2.hydroxyisobutyrate_metabolon",4
"X2.hydroxyphenylacetate_metabolon",3
"X2.methylbutyrylcarnitine..C5._metabolon",5
"X3..4.hydroxyphenyl.lactate_metabolon",3
"X3.hydroxy.2.ethylpropionate_metabolon",4
"X3.hydroxyisobutyrate_metabolon",3
"X3.indoxyl.sulfate_metabolon",1
"X3.methoxytyrosine_metabolon",5
"X3.methyl.2.oxobutyrate_metabolon",4
"X3.methyl.2.oxovalerate_metabolon",3
"X3.methylglutarylcarnitine..2._metabolon",5
"X3.methylhistidine_metabolon",1
"X3.phenylpropionate..hydrocinnamate._metabolon",1
"X4.acetamidobutanoate_metabolon",5
"X4.guanidinobutanoate_metabolon",5
"X4.hydroxyphenylacetatoylcarnitine_metabolon",1
"X4.hydroxyphenylpyruvate_metabolon",3
"X4.methyl.2.oxopentanoate_metabolon",3
"X5.hydroxyindoleacetate_metabolon",3
"X5.hydroxylysine_metabolon",5
"X5.methylthioadenosine..MTA._metabolon",5
"X5.oxoproline_metabolon",5
"X6.oxopiperidine.2.carboxylic.acid_metabolon",3
"acisoga_metabolon",1
"alanine_metabolon",5
"alpha.hydroxyisocaproate_metabolon",3
"alpha.hydroxyisovalerate_metabolon",4
"alpha.ketobutyrate_metabolon",4
"arginine_metabolon",5
"argininosuccinate_metabolon",5
"asparagine_metabolon",3
"aspartate_metabolon",5
"beta.hydroxyisovalerate_metabolon",4
"betaine_metabolon",5
"C.glycosyltryptophan_metabolon",5
"citrulline_metabolon",5
"creatine_metabolon",1
"creatinine_metabolon",5
"cys.gly..oxidized_metabolon",5
"cystathionine_metabolon",5
"cysteine_metabolon",5
"cysteine.s.sulfate_metabolon",1
"cysteine.sulfinic.acid_metabolon",5
"cysteine.glutathione.disulfide_metabolon",4
"cysteinylglycine_metabolon",5
"cystine_metabolon",1
"dimethylarginine..SDMA...ADMA._metabolon",5
"dimethylglycine_metabolon",5
"dopamine.sulfate..2._metabolon",3
"ethylmalonate_metabolon",4
"gamma.carboxyglutamate_metabolon",5
"glutamate_metabolon",5
"glutamine_metabolon",5
"glutarate..pentanedioate._metabolon",1
"glutarylcarnitine..C5._metabolon",5
"glycine_metabolon",5
"guanidinoacetate_metabolon",1
"histidine_metabolon",5
"homoarginine_metabolon",5
"homocitrulline_metabolon",3
"hydantoin.5.propionic.acid_metabolon",3
"hypotaurine_metabolon",5
"imidazole.lactate_metabolon",4
"imidazole.propionate_metabolon",5
"indoleacetate_metabolon",1
"indoleacetylglutamine_metabolon",1
"indolelactate_metabolon",5
"indolepropionate_metabolon",1
"isobutyrylcarnitine_metabolon",3
"isobutyrylglycine_metabolon",3
"isoleucine_metabolon",3
"isovalerate_metabolon",3
"isovalerylcarnitine_metabolon",5
"isovalerylglycine_metabolon",3
"kynurenate_metabolon",5
"kynurenine_metabolon",5
"leucine_metabolon",3
"lysine_metabolon",3
"methionine_metabolon",3
"methionine.sulfone_metabolon",5
"methionine.sulfoxide_metabolon",3
"methylsuccinate_metabolon",4
"methylsuccinoylcarnitine..1._metabolon",1
"N.acetyl.1.methylhistidine._metabolon",1
"N.acetyl.3.methylhistidine._metabolon",1
"N.acetyl.aspartyl.glutamate..NAAG._metabolon",4
"N.acetyl.cadaverine_metabolon",1
"N.acetylalanine_metabolon",5
"N.acetylarginine_metabolon",1
"N.acetylaspartate..NAA._metabolon",4
"N.acetylcitrulline_metabolon",1
"N.acetylglutamate_metabolon",3
"N.acetylglutamine_metabolon",1
"N.acetylglycine_metabolon",4
"N.acetylhistidine_metabolon",1
"N.acetylisoleucine_metabolon",3
"N.acetylkynurenine..2._metabolon",1
"N.acetylleucine_metabolon",3
"N.acetylmethionine_metabolon",5
"N.acetylphenylalanine_metabolon",1
"N.acetylputrescine_metabolon",5
"N.acetylserine_metabolon",5
"N.acetyltaurine_metabolon",4
"N.acetylthreonine_metabolon",3
"N.acetyltryptophan_metabolon",5
"N.acetyltyrosine_metabolon",1
"N.acetylvaline_metabolon",5
"N.delta.acetylornithine_metabolon",5
"N.formylmethionine_metabolon",5
"N.formylphenylalanine_metabolon",3
"N.methyl.4.aminobutyric.acid_metabolon",4
"N.methylproline_metabolon",1
"N2.N5.diacetylornithine_metabolon",1
"N6.acetyllysine_metabolon",3
"N6.N6.N6.trimethyllysine_metabolon",5
"O.acetylhomoserine_metabolon",1
"o.cresol.sulfate_metabolon",1
"ornithine_metabolon",5
"p.cresol.sulfate_metabolon",4
"p.cresol.glucuronide._metabolon",4
"phenol.sulfate_metabolon",3
"phenylacetylcarnitine_metabolon",3
"phenylacetylglutamate_metabolon",3
"phenylacetylglutamine_metabolon",3
"phenylalanine_metabolon",3
"phenyllactate..PLA._metabolon",3
"phenylpyruvate_metabolon",3
"pipecolate_metabolon",5
"pro.hydroxy.pro_metabolon",5
"proline_metabolon",3
"pyroglutamine._metabolon",5
"S.1.pyrroline.5.carboxylate_metabolon",3
"S.adenosylhomocysteine..SAH._metabolon",5
"S.methylcysteine_metabolon",1
"sarcosine..N.Methylglycine._metabolon",5
"serine_metabolon",5
"serotonin_metabolon",4
"spermidine_metabolon",5
